회사명,stock_code,2022년,2023년,2024년,S_value_등급,E_value_등급,G_value_등급,성장성_value_등급,재무_value_등급
하이트진로,80,비,비,비플러스,비,에이,비플러스,에이,비
고려제강,2240,디,씨,비플러스,비플러스,비,에이,비플러스,비
KG모빌리티,3620,없음,디,비플러스,비플러스,비플러스,에이,에이,에이
남양유업,3920,씨,비,비플러스,비,에이,비,비,비플러스
삼천리,4690,씨,씨,비플러스,비,에이,비플러스,에이,씨
성신양회,4980,씨,비,비플러스,비플러스,비,비,비플러스,에이
벽산,7210,디,씨,비플러스,비플러스,비플러스,비,씨,에이
DN오토모티브,7340,씨,씨,비플러스,비플러스,에이,디,에이,비
경동나비엔,9450,씨,비,비플러스,비플러스,에이,에이,비플러스,비플러스
명신산업,9900,디,디,비플러스,비플러스,디,디,비플러스,에이
지엠비코리아,13870,디,디,비플러스,비,비,비플러스,씨,에이
성우하이텍,15750,없음,디,비플러스,비플러스,비플러스,비플러스,비플러스,비플러스
서울가스,17390,없음,씨,비플러스,비플러스,비,비플러스,비플러스,디
아난티,25980,없음,씨,비플러스,비,에이,비,비플러스,씨
다우데이타,32190,없음,씨,비플러스,비플러스,비,디,에이,디
롯데관광개발,32350,디,디,비플러스,비플러스,에이,비,비,디
파라다이스,34230,없음,씨,비플러스,비플러스,에이,씨,비플러스,씨
SNT홀딩스,36530,씨,비,비플러스,비플러스,디,디,비플러스,비
코스맥스비티아이,44820,비플러스,비,비플러스,비플러스,씨,디,씨,에이
동원F&B,49770,비,비,비플러스,비,에이,씨,비플러스,에이
엘앤에프,66970,없음,씨,비플러스,비플러스,비플러스,에이,에이,비플러스
하나마이크론,67310,없음,씨,비플러스,비플러스,비플러스,디,비플러스,씨
GS,78930,에이,비,에이,비플러스,씨,에이,에이,디
SK오션플랜트,100090,없음,비,비플러스,비,비플러스,비,비플러스,씨
메가스터디교육,215200,없음,씨,비플러스,비플러스,에이,비,에이,비플러스
원익IPS,240810,없음,비,비플러스,비,에이,에이,비,디
하이브,352820,씨,씨,비플러스,비플러스,비플러스,에이,에이,씨
